"","Gender","SeniorCitizen","Partner","Dependents","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","PaperlessBilling","MonthlyCharges","Churn","sample","FixedCharges","TenureCat.00.06","TenureCat.06.12","TenureCat.12.24","OneYearContract","TwoYearContract","BankTransfer","CreditCard","ECheck"
"1","Female","No","Yes","No","No","No","DSL","No","Yes","No","No","No","No","Yes",29.85,"No",TRUE,0,"1","0","0","0","0","0","0","1"
"2","Male","No","No","No","Yes","No","DSL","Yes","No","Yes","No","No","No","No",56.95,"No",TRUE,-46.8000000000002,"0","0","0","1","0","0","0","0"
"3","Male","No","No","No","Yes","No","DSL","Yes","Yes","No","No","No","No","Yes",53.85,"Yes",TRUE,0.450000000000003,"1","0","0","0","0","0","0","0"
"4","Male","No","No","No","No","No","DSL","Yes","No","Yes","Yes","No","No","No",42.3,"No",TRUE,-62.7499999999998,"0","0","0","1","0","1","0","0"
"5","Female","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","No","Yes",70.7,"Yes",TRUE,10.25,"1","0","0","0","0","0","0","1"
"6","Female","No","No","No","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Yes",99.65,"Yes",TRUE,23.3,"0","1","0","0","0","0","0","1"
"7","Male","No","No","Yes","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Yes",89.1,"No",FALSE,-10.7999999999997,"0","0","1","0","0","0","1","0"
"8","Female","No","No","No","No","No","DSL","Yes","No","No","No","No","No","No",29.75,"No",FALSE,4.39999999999998,"0","1","0","0","0","0","0","0"
"9","Female","No","Yes","No","Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Yes",104.8,"Yes",FALSE,111.65,"0","0","0","0","0","0","0","1"
"10","Male","No","No","Yes","Yes","No","DSL","Yes","Yes","No","No","No","No","No",56.15,"No",FALSE,6.65000000000009,"0","0","0","1","0","1","0","0"
"11","Male","No","Yes","Yes","Yes","No","DSL","Yes","No","No","No","No","No","Yes",49.95,"No",FALSE,-61.9,"0","0","1","0","0","0","0","0"
"13","Male","No","Yes","No","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","No",100.35,"No",TRUE,-139.199999999999,"0","0","0","1","0","0","1","0"
"14","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Yes",103.7,"Yes",TRUE,-45,"0","0","0","0","0","1","0","0"
"15","Male","No","No","No","Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Yes",105.5,"No",TRUE,48.5500000000002,"0","0","0","0","0","0","0","1"
"16","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","No",113.25,"No",TRUE,80.8999999999996,"0","0","0","0","1","0","1","0"
"18","Male","No","No","Yes","Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","No",106.7,"No",FALSE,-193.45,"0","0","0","0","1","1","0","0"
"19","Female","No","Yes","Yes","Yes","No","DSL","No","No","Yes","Yes","No","No","No",55.2,"Yes",TRUE,-23.65,"0","1","0","0","0","0","1","0"
"20","Female","No","No","No","Yes","No","Fiber optic","No","Yes","Yes","No","No","Yes","Yes",90.05,"No",TRUE,-28.1499999999999,"0","0","1","0","0","0","0","1"
"21","Male","Yes","No","No","No","No","DSL","No","No","Yes","No","No","Yes","Yes",39.65,"Yes",TRUE,0,"1","0","0","0","0","0","0","1"
"24","Female","No","Yes","No","Yes","Yes","DSL","No","Yes","No","Yes","No","No","Yes",59.9,"No",TRUE,30.9000000000001,"0","0","0","0","1","0","1","0"
"25","Male","No","Yes","Yes","Yes","No","DSL","Yes","Yes","No","Yes","No","No","No",59.6,"No",TRUE,49.9000000000001,"0","0","0","0","0","0","1","0"
"26","Female","No","No","No","Yes","No","DSL","Yes","Yes","No","No","No","No","Yes",55.3,"No",TRUE,-128.4,"0","0","0","0","0","1","0","0"
"27","Male","No","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Yes",99.35,"Yes",TRUE,79.6999999999998,"0","0","0","0","0","0","0","1"
"28","Male","No","Yes","Yes","No","No","DSL","No","Yes","No","No","No","No","No",30.2,"Yes",TRUE,0,"1","0","0","0","0","0","0","1"
"29","Male","No","Yes","No","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Yes",90.25,"No",TRUE,-128.55,"0","0","0","0","1","0","1","0"
"30","Female","No","No","Yes","Yes","No","DSL","No","No","No","No","Yes","Yes","Yes",64.7,"Yes",TRUE,-6.80000000000018,"0","0","1","0","0","0","0","0"
"31","Female","Yes","Yes","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","Yes",96.35,"No",TRUE,-73.8999999999996,"0","0","0","0","1","0","1","0"
"32","Male","Yes","Yes","No","Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Yes",95.5,"No",TRUE,-9.34999999999999,"1","0","0","0","0","0","1","0"
"33","Female","No","Yes","Yes","Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","No",66.15,"No",FALSE,88.3999999999999,"0","0","0","1","0","0","0","0"
"35","Male","Yes","No","No","Yes","No","DSL","No","No","No","No","No","No","No",45.25,"No",TRUE,0,"1","0","0","0","0","1","0","0"
"36","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","No","No",99.9,"No",FALSE,58.8999999999996,"0","0","0","0","1","1","0","0"
"37","Male","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","No","Yes",69.7,"Yes",TRUE,-31.6,"1","0","0","0","0","0","0","1"
"38","Female","No","No","No","Yes","No","Fiber optic","No","No","Yes","No","No","No","Yes",74.8,"No",TRUE,107.5,"0","0","0","0","0","0","1","0"
"39","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Yes",106.35,"Yes",TRUE,-66.6499999999996,"0","0","0","0","0","0","0","1"
"40","Female","No","No","No","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Yes",97.85,"Yes",TRUE,29.0500000000002,"0","1","0","0","0","1","0","0"
"41","Male","No","Yes","Yes","Yes","No","DSL","No","Yes","No","No","No","No","No",49.55,"No",TRUE,-19.8,"0","1","0","1","0","0","0","0"
"42","Female","No","Yes","Yes","Yes","Yes","DSL","Yes","Yes","No","No","Yes","No","Yes",69.2,"No",TRUE,28.3500000000004,"0","0","0","0","1","0","1","0"
"44","Female","No","No","No","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","Yes",79.85,"No",TRUE,-169.099999999999,"0","0","0","0","1","0","1","0"
"45","Female","No","Yes","No","Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","No","Yes",76.2,"No",TRUE,-9.14999999999998,"0","0","1","0","0","0","0","1"
"46","Female","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Yes",84.5,"No",TRUE,-233.8,"0","0","0","0","0","0","0","1"
"47","Male","No","No","No","Yes","No","DSL","No","Yes","No","No","No","No","No",49.25,"No",TRUE,-1.5,"1","0","0","0","0","0","0","0"
"48","Female","No","No","No","Yes","No","Fiber optic","No","No","No","No","Yes","No","Yes",80.65,"Yes",TRUE,-17.15,"1","0","0","0","0","0","0","1"
"49","Male","No","No","No","Yes","Yes","DSL","Yes","No","No","Yes","Yes","Yes","Yes",79.75,"No",FALSE,70.8000000000002,"0","0","0","0","1","0","1","0"
"50","Female","No","Yes","Yes","Yes","Yes","DSL","Yes","No","Yes","Yes","No","No","Yes",64.15,"No",TRUE,-172.25,"0","0","0","0","1","0","1","0"
"51","Female","Yes","No","No","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Yes",90.25,"No",TRUE,-42,"0","0","0","0","0","0","0","1"
"52","Female","No","No","No","Yes","No","Fiber optic","Yes","Yes","No","No","Yes","Yes","Yes",99.1,"Yes",TRUE,-60.0999999999999,"0","0","1","0","0","0","1","0"
