Gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,Churn,sample,FixedCharges,TenureCat.00.06,TenureCat.06.12,TenureCat.12.24,OneYearContract,TwoYearContract,BankTransfer,CreditCard,ECheck
0,0,1,0,0,0,0,0,1,0,0,0,0,1,29.85,0,TRUE,0,1,0,0,0,0,0,0,1
1,0,0,0,1,0,0,1,0,1,0,0,0,0,56.95,0,TRUE,-46.8,0,0,0,1,0,0,0,0
1,0,0,0,1,0,0,1,1,0,0,0,0,1,53.85,1,TRUE,0.45,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,1,1,0,0,0,42.3,0,TRUE,-62.75,0,0,0,1,0,1,0,0
0,0,0,0,1,0,1,0,0,0,0,0,0,1,70.7,1,TRUE,10.25,1,0,0,0,0,0,0,1
0,0,0,0,1,1,1,0,0,1,0,1,1,1,99.65,1,TRUE,23.3,0,1,0,0,0,0,0,1
1,0,0,1,1,1,1,0,1,0,0,1,0,1,89.1,0,FALSE,-10.8,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,29.75,0,FALSE,4.4,0,1,0,0,0,0,0,0
0,0,1,0,1,1,1,0,0,1,1,1,1,1,104.8,1,FALSE,111.65,0,0,0,0,0,0,0,1
1,0,0,1,1,0,0,1,1,0,0,0,0,0,56.15,0,FALSE,6.65,0,0,0,1,0,1,0,0
1,0,1,1,1,0,0,1,0,0,0,0,0,1,49.95,0,FALSE,-61.9,0,0,1,0,0,0,0,0
1,0,1,0,1,1,1,0,0,1,0,1,1,0,100.35,0,TRUE,-139.2,0,0,0,1,0,0,1,0
1,0,0,0,1,1,1,0,1,1,0,1,1,1,103.7,1,TRUE,-45,0,0,0,0,0,1,0,0
1,0,0,0,1,0,1,1,0,1,1,1,1,1,105.5,0,TRUE,48.55,0,0,0,0,0,0,0,1
0,0,1,1,1,1,1,1,1,1,1,1,1,0,113.25,0,TRUE,80.9,0,0,0,0,1,0,1,0
1,0,0,1,1,1,1,1,0,1,0,1,1,0,106.7,0,FALSE,-193.45,0,0,0,0,1,1,0,0
0,0,1,1,1,0,0,0,0,1,1,0,0,0,55.2,1,TRUE,-23.65,0,1,0,0,0,0,1,0
0,0,0,0,1,0,1,0,1,1,0,0,1,1,90.05,0,TRUE,-28.15,0,0,1,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1,0,0,1,1,39.65,1,TRUE,0,1,0,0,0,0,0,0,1
0,0,1,0,1,1,0,0,1,0,1,0,0,1,59.9,0,TRUE,30.9,0,0,0,0,1,0,1,0
1,0,1,1,1,0,0,1,1,0,1,0,0,0,59.6,0,TRUE,49.9,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,1,1,0,0,0,0,1,55.3,0,TRUE,-128.4,0,0,0,0,0,1,0,0
1,0,1,1,1,1,1,0,1,0,0,1,1,1,99.35,1,TRUE,79.7,0,0,0,0,0,0,0,1
1,0,1,1,0,0,0,0,1,0,0,0,0,0,30.2,1,TRUE,0,1,0,0,0,0,0,0,1
1,0,1,0,1,1,0,1,1,1,1,1,1,1,90.25,0,TRUE,-128.55,0,0,0,0,1,0,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,1,64.7,1,TRUE,-6.8,0,0,1,0,0,0,0,0
0,1,1,0,1,1,1,1,1,1,1,0,0,1,96.35,0,TRUE,-73.9,0,0,0,0,1,0,1,0
1,1,1,0,1,0,1,0,0,1,0,1,1,1,95.5,0,TRUE,-9.35,1,0,0,0,0,0,1,0
0,0,1,1,1,0,0,1,1,1,1,0,0,0,66.15,0,FALSE,88.4,0,0,0,1,0,0,0,0
1,1,0,0,1,0,0,0,0,0,0,0,0,0,45.25,0,TRUE,0,1,0,0,0,0,1,0,0
0,0,1,1,1,1,1,1,1,0,1,1,0,0,99.9,0,FALSE,58.9,0,0,0,0,1,1,0,0
1,0,0,0,1,0,1,0,0,0,0,0,0,1,69.7,1,TRUE,-31.6,1,0,0,0,0,0,0,1
0,0,0,0,1,0,1,0,0,1,0,0,0,1,74.8,0,TRUE,107.5,0,0,0,0,0,0,1,0
1,0,0,0,1,1,1,0,1,1,0,1,1,1,106.35,1,TRUE,-66.65,0,0,0,0,0,0,0,1
0,0,0,0,1,1,1,0,0,1,0,1,1,1,97.85,1,TRUE,29.05,0,1,0,0,0,1,0,0
1,0,1,1,1,0,0,0,1,0,0,0,0,0,49.55,0,TRUE,-19.8,0,1,0,1,0,0,0,0
0,0,1,1,1,1,0,1,1,0,0,1,0,1,69.2,0,TRUE,28.35,0,0,0,0,1,0,1,0
0,0,0,0,1,1,0,1,1,1,1,1,0,1,79.85,0,TRUE,-169.1,0,0,0,0,1,0,1,0
0,0,1,0,1,1,0,1,1,0,1,1,0,1,76.2,0,TRUE,-9.15,0,0,1,0,0,0,0,1
0,0,0,0,1,1,1,0,0,0,0,0,1,1,84.5,0,TRUE,-233.8,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,1,0,0,0,0,0,49.25,0,TRUE,-1.5,1,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0,1,0,1,80.65,1,TRUE,-17.15,1,0,0,0,0,0,0,1
1,0,0,0,1,1,0,1,0,0,1,1,1,1,79.75,0,FALSE,70.8,0,0,0,0,1,0,1,0
0,0,1,1,1,1,0,1,0,1,1,0,0,1,64.15,0,TRUE,-172.25,0,0,0,0,1,0,1,0
