Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,DSL,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,One Year,Two Year,PaperlessBilling,BankTransfer,CreditCard,ECheck,MonthlyCharges,FixedCharges,Churn,sample
0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,29.85,0,0,TRUE
1,0,0,0,34,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,56.95,-46.8,0,TRUE
1,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,53.85,0.45,1,TRUE
1,0,0,0,45,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,42.3,-62.75,0,TRUE
0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,70.7,10.25,1,TRUE
0,0,0,0,8,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,99.65,23.3,1,TRUE
1,0,0,1,22,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,89.1,-10.8,0,FALSE
0,0,0,0,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,29.75,4.4,0,FALSE
0,0,1,0,28,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,104.8,111.65,1,FALSE
1,0,0,1,62,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,56.15,6.65,0,FALSE
1,0,1,1,13,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,49.95,-61.9,0,FALSE
1,0,1,0,58,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,100.35,-139.2,0,TRUE
1,0,0,0,49,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,103.7,-45,1,TRUE
1,0,0,0,25,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,105.5,48.55,0,TRUE
0,0,1,1,69,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,113.25,80.9,0,TRUE
1,0,0,1,71,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,106.7,-193.45,0,FALSE
0,0,1,1,10,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,55.2,-23.65,1,TRUE
0,0,0,0,21,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,90.05,-28.15,0,TRUE
1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,39.65,0,1,TRUE
0,0,1,0,58,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,59.9,30.9,0,TRUE
1,0,1,1,49,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,59.6,49.9,0,TRUE
0,0,0,0,30,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,55.3,-128.4,0,TRUE
1,0,1,1,47,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,99.35,79.7,1,TRUE
1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,30.2,0,1,TRUE
1,0,1,0,72,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,90.25,-128.55,0,TRUE
0,0,0,1,17,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,64.7,-6.8,1,TRUE
0,1,1,0,71,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,96.35,-73.9,0,TRUE
1,1,1,0,2,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,95.5,-9.35,0,TRUE
0,0,1,1,27,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,66.15,88.4,0,FALSE
1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,45.25,0,0,TRUE
0,0,1,1,72,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,99.9,58.9,0,FALSE
1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,69.7,-31.6,1,TRUE
0,0,0,0,46,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,74.8,107.5,0,TRUE
1,0,0,0,34,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,106.35,-66.65,1,TRUE
0,0,0,0,11,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,97.85,29.05,1,TRUE
1,0,1,1,10,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,49.55,-19.8,0,TRUE
0,0,1,1,70,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,69.2,28.35,0,TRUE
0,0,0,0,63,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,79.85,-169.1,0,TRUE
0,0,1,0,13,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,76.2,-9.15,0,TRUE
0,0,0,0,49,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,84.5,-233.8,0,TRUE
1,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,49.25,-1.5,0,TRUE
0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,80.65,-17.15,1,TRUE
1,0,0,0,52,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,79.75,70.8,0,FALSE
0,0,1,1,69,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,64.15,-172.25,0,TRUE
0,1,0,0,43,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,90.25,-42,0,TRUE
0,0,0,0,15,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,99.1,-60.1,1,TRUE
0,1,1,0,25,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,69.5,15.15,0,FALSE
0,1,1,0,8,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,80.65,-11.9,1,FALSE
0,1,1,1,60,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,74.85,-34.65,0,TRUE
1,1,0,0,18,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,95.45,34.45,1,TRUE
0,0,1,1,63,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,99.65,33.25,0,TRUE
1,1,1,1,66,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,108.45,-81.35,0,TRUE
0,0,0,0,72,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,107.5,113.7,0,TRUE
0,0,1,0,47,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,100.5,-16.4,0,TRUE
1,0,0,0,60,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,89.9,56.7,0,FALSE
1,0,1,0,72,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,42.1,-69.2,0,TRUE
0,0,1,1,18,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,54.4,-22.1,0,FALSE
0,0,0,0,9,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,94.4,7.65,1,TRUE
0,0,0,0,3,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,75.3,18.2,0,FALSE
1,0,1,0,47,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,78.9,-57.95,0,TRUE
0,0,0,0,31,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,79.2,42,0,TRUE
1,0,0,0,10,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,79.85,88.85,0,FALSE
1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,49.05,0,0,TRUE
1,1,1,1,64,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,111.6,-43.4,0,TRUE
0,0,0,1,3,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,64.5,-16.1,0,TRUE
0,1,0,0,56,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,110.5,-48.5,0,FALSE
0,0,0,0,46,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,55.65,128.95,0,TRUE
0,0,1,1,8,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,54.65,45.05,0,TRUE
1,1,0,0,30,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,74.75,-131.2,0,TRUE
0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,79.35,0,1,TRUE
0,0,1,1,11,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,50.55,9.3,0,TRUE
0,0,1,0,7,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,75.15,-29.15,1,TRUE
